"LAKENUMBER_TO_USE"	"Lac"	"Mesure"	"date"	"Green_Algae_ug.L"	"Bluegreen_ug.L"	"Diatoms_ug.L"	"Cryptophyta_ug.L"	"Yellow.sub_ug.L"	"Total_conc_ug.L"	"treatment"	"Year"	"Month"	"Day"
7	"LAC 7"	"Mesure 1"	2016-09-22 14:31:00	88.0133333333333	0	0.07	0	0.856666666666667	88.08	"No perch - Control"	2016	9	22
7	"LAC 7"	"Mesure 1"	2016-06-20 15:45:20	26.0066666666667	0	0	0	1.15666666666667	26.0066666666667	"No perch - Control"	2016	6	20
7	"LAC 7"	"Mesure 1"	2016-03-22 15:07:20	5.92333333333333	0	4.80333333333333	0	1.12666666666667	10.7266666666667	"No perch - Control"	2016	3	22
7	"LAC 7"	"Mesure 1"	2016-10-18 14:51:00	0	0.78	0	0	2.61666666666667	0.78	"No perch - Control"	2016	10	18
7	"LAC 7"	"Mesure 1"	2016-02-17 16:16:00	1.35	1.11333333333333	4.41	0.256666666666667	0.87	7.13333333333333	"No perch - Control"	2016	2	17
7	"LAC 7"	"Mesure 1"	2016-07-20 15:09:00	23.7333333333333	0	0	0	1.06666666666667	23.7333333333333	"No perch - Control"	2016	7	20
7	"LAC 7"	"Mesure 1"	2016-04-14 16:33:00	11.2733333333333	0	5.82	0	0.916666666666667	17.0966666666667	"No perch - Control"	2016	4	14
7	"LAC 7"	"Mesure 1"	2016-11-21 16:46:00	16.0333333333333	0.416666666666667	4.11	0	2.00666666666667	20.5633333333333	"No perch - Control"	2016	11	21
7	"LAC 7"	"Mesure 1"	2016-08-23 14:48:20	91.2566666666667	1.39	0	0	1.07333333333333	92.65	"No perch - Control"	2016	8	23
7	"LAC 7"	"Mesure 1"	2016-01-13 17:24:40	4.39333333333333	0.0466666666666667	6.41333333333333	0	0.73	10.85	"No perch - Control"	2016	1	13
7	"LAC 7"	"Mesure 1"	2016-05-17 15:56:00	11.1666666666667	0	1.58	0	0.83	12.7466666666667	"No perch - Control"	2016	5	17
7	"LAC 7"	"Mesure 1"	2016-12-15 17:51:00	20.2966666666667	1.45666666666667	3.72666666666667	0	1.81666666666667	25.4766666666667	"No perch - Control"	2016	12	15
8	"LAC 8"	"Mesure 1"	2016-08-23 14:52:00	238.213333333333	19.04	0	0	1.50666666666667	257.253333333333	"No perch - Phosphorus"	2016	8	23
8	"LAC 8"	"Mesure 1"	2016-09-22 14:33:00	13.75	0.91	0.406666666666667	0	3.19333333333333	15.0666666666667	"No perch - Phosphorus"	2016	9	22
8	"LAC 8"	"Mesure 1"	2016-03-22 15:09:00	7.21666666666667	0	1.35	0	0.913333333333333	8.56333333333333	"No perch - Phosphorus"	2016	3	22
